iter	Passed	Remaining
0	54	54368
1	55	27446
2	55	18457
3	56	13964
4	56	11271
5	57	9474
6	57	8189
7	58	7219
8	58	6465
9	59	5860
10	59	5366
11	60	4954
12	60	4607
13	61	4307
14	61	4048
15	62	3821
16	62	3621
17	63	3442
18	63	3283
19	64	3139
20	64	3009
21	65	2891
22	65	2783
23	66	2684
24	66	2593
25	66	2509
26	67	2431
27	67	2358
28	68	2290
29	68	2227
30	69	2168
31	69	2112
32	70	2060
33	70	2011
34	71	1965
35	71	1922
36	72	1880
37	72	1841
38	73	1804
39	73	1769
40	74	1735
41	74	1703
42	75	1672
43	75	1643
44	76	1615
45	76	1588
46	77	1563
47	77	1539
48	78	1515
49	78	1492
50	79	1471
51	79	1450
52	80	1430
53	80	1410
54	81	1392
55	81	1374
56	81	1356
57	82	1339
58	82	1322
59	83	1306
60	83	1291
61	84	1276
62	84	1262
63	85	1248
64	85	1234
65	86	1221
66	86	1208
67	87	1196
68	87	1183
69	88	1171
70	88	1159
71	89	1148
72	89	1137
73	90	1127
74	90	1116
75	91	1106
76	91	1097
77	92	1087
78	92	1078
79	92	1069
80	93	1060
81	93	1051
82	94	1043
83	94	1035
84	95	1026
85	95	1018
86	96	1011
87	96	1003
88	97	996
89	97	988
90	98	981
91	98	974
92	99	967
93	99	959
94	100	952
95	100	946
96	100	940
97	101	934
98	101	928
99	102	922
100	102	916
101	103	910
102	103	904
103	104	898
104	104	893
105	105	888
106	105	882
107	106	877
108	106	872
109	107	867
110	107	860
111	107	855
112	108	850
113	108	846
114	109	841
115	109	836
116	110	832
117	110	827
118	111	822
119	111	818
120	112	814
121	112	810
122	113	805
123	113	801
124	113	797
125	114	793
126	114	789
127	115	786
128	115	782
129	116	778
130	116	774
131	117	771
132	117	767
133	118	764
134	118	760
135	119	757
136	119	754
137	120	751
138	120	748
139	121	745
140	121	742
141	122	739
142	122	736
143	123	733
144	123	730
145	124	727
146	124	725
147	125	722
148	125	719
149	126	716
150	126	714
151	127	711
152	127	708
153	128	705
154	128	703
155	129	700
156	129	697
157	130	695
158	130	692
159	131	689
160	131	687
161	132	684
162	132	681
163	133	679
164	133	676
165	134	674
166	134	671
167	135	669
168	135	667
169	136	664
170	136	662
171	137	659
172	137	656
173	137	654
174	138	651
175	138	649
176	139	647
177	139	645
178	140	643
179	140	640
180	141	638
181	141	636
182	142	634
183	142	632
184	143	630
185	143	628
186	144	626
187	144	624
188	144	622
189	145	620
190	145	618
191	146	616
192	146	614
193	147	612
194	147	610
195	148	608
196	148	606
197	149	604
198	149	602
199	150	600
200	150	598
201	151	596
202	151	594
203	151	593
204	152	591
205	152	589
206	153	587
207	153	585
208	154	584
209	154	582
210	155	580
211	155	578
212	156	577
213	156	575
214	157	573
215	157	572
216	158	570
217	158	568
218	159	567
219	159	565
220	159	563
221	160	562
222	160	560
223	161	559
224	161	557
225	162	556
226	162	554
227	163	553
228	163	551
229	164	550
230	164	548
231	165	547
232	165	545
233	166	544
234	166	542
235	167	541
236	167	539
237	168	538
238	168	536
239	169	535
240	169	533
241	170	532
242	170	530
243	170	529
244	171	527
245	171	526
246	172	525
247	172	523
248	173	522
249	173	520
250	174	519
251	174	518
252	175	516
253	175	515
254	175	514
255	176	512
256	176	511
257	177	510
258	177	509
259	178	507
260	178	506
261	179	505
262	179	504
263	180	502
264	180	501
265	181	500
266	181	498
267	182	497
268	182	496
269	183	495
270	183	493
271	184	492
272	184	491
273	185	490
274	185	489
275	185	487
276	186	486
277	186	485
278	187	484
279	187	483
280	188	481
281	188	480
282	189	479
283	189	478
284	190	477
285	190	475
286	191	474
287	191	473
288	192	472
289	192	471
290	193	470
291	193	469
292	193	468
293	194	466
294	194	465
295	195	464
296	195	463
297	196	462
298	196	461
299	197	460
300	197	459
301	198	458
302	198	457
303	199	456
304	199	454
305	200	453
306	200	452
307	201	451
308	201	450
309	202	449
310	202	448
311	202	447
312	203	446
313	203	445
314	204	444
315	204	443
316	205	442
317	205	441
318	206	440
319	206	439
320	207	438
321	207	437
322	208	436
323	208	435
324	209	434
325	209	433
326	209	432
327	210	431
328	210	430
329	211	429
330	211	428
331	212	427
332	212	426
333	213	425
334	213	424
335	214	423
336	214	422
337	215	421
338	215	420
339	216	419
340	216	418
341	217	417
342	217	416
343	218	415
344	218	414
345	218	413
346	219	412
347	219	411
348	220	410
349	220	410
350	221	409
351	221	408
352	222	407
353	222	406
354	223	405
355	223	404
356	224	403
357	224	402
358	225	401
359	225	401
360	226	400
361	226	399
362	227	398
363	227	397
364	228	396
365	228	396
366	229	395
367	229	394
368	230	393
369	230	392
370	231	391
371	231	391
372	232	390
373	232	389
374	233	388
375	233	387
376	234	387
377	234	386
378	235	385
379	235	384
380	236	383
381	236	383
382	237	382
383	237	381
384	238	380
385	238	379
386	239	379
387	239	378
388	240	377
389	240	376
390	241	375
391	241	374
392	242	374
393	242	373
394	243	372
395	243	371
396	244	371
397	244	370
398	245	369
399	245	368
400	246	367
401	246	367
402	247	366
403	247	365
404	248	364
405	248	363
406	249	363
407	249	362
408	250	361
409	250	360
410	251	360
411	251	359
412	252	358
413	252	357
414	253	356
415	253	356
416	254	355
417	254	354
418	255	353
419	255	353
420	256	352
421	256	351
422	257	350
423	257	350
424	258	349
425	258	348
426	259	347
427	259	347
428	260	346
429	260	345
430	261	344
431	261	344
432	262	343
433	262	342
434	263	342
435	263	341
436	264	340
437	264	339
438	265	339
439	265	338
440	266	337
441	266	336
442	267	336
443	267	335
444	268	334
445	268	334
446	269	333
447	269	332
448	270	331
449	270	331
450	271	330
451	271	329
452	272	328
453	272	328
454	273	327
455	273	326
456	274	326
457	274	325
458	275	324
459	275	323
460	276	323
461	276	322
462	277	321
463	277	320
